"obs","id","time","strawberry","blueberry","pina.colada","plain","mixed.berry","price"
1,"2100081",9678,0,0,0,0,1,58.96
2,"2100081",9697,0,0,0,0,1,58.96
3,"2100081",9825,0,0,0,0,1,65.04
4,"2100081",9999,0,0,0,0,1,65.04
5,"2100081",10015,1,0,1,0,1,48.96
6,"2100081",10029,1,0,2,0,1,65.04
7,"2100081",10036,0,0,0,0,1,65.04
8,"2100081",10042,0,0,0,0,1,65.04
9,"2100081",10083,0,0,0,0,1,65.04
10,"2100081",10091,0,0,0,0,1,65.04
11,"2100081",10097,0,0,0,0,3,65.04
12,"2100081",10109,0,0,0,0,1,65.04
13,"2100081",10119,0,0,0,0,2,68.96
14,"2100081",10126,0,0,0,0,2,68.96
15,"2100081",10128,1,0,0,0,0,68.96
16,"2100081",10134,0,0,0,0,3,68.96
17,"2100081",10141,0,0,0,0,3,68.96
18,"2100081",10173,0,0,0,0,2,68.96
19,"2100081",10190,2,0,0,0,0,68.96
20,"2100081",10204,0,0,0,0,1,68.96
21,"2100081",10207,0,0,0,0,2,68.96
22,"2100081",10214,0,0,0,0,3,68.96
23,"2100081",10231,0,0,0,0,3,68.96
24,"2100081",10235,0,0,0,0,1,68.96
25,"2100081",10240,0,0,0,0,2,68.96
26,"2100081",10301,1,0,0,0,2,39.04
27,"2100081",10307,0,0,0,0,2,68.96
28,"2100081",10309,0,0,0,0,3,68.96
29,"2100081",10336,0,0,0,0,1,68.96
30,"2100081",10351,0,0,0,0,1,68.96
31,"2100081",10353,2,0,0,0,0,68.96
32,"2100081",10438,0,0,0,0,8,24.96
33,"2100081",10440,3,0,0,0,3,68.96
34,"2100081",10453,0,0,0,0,1,50
35,"2100370",9934,0,0,0,0,1,50
36,"2100370",9949,2,0,0,0,0,45.04
37,"2100370",9973,0,0,0,0,1,65.04
38,"2100370",9978,1,0,0,0,1,65.04
39,"2100370",9984,1,0,1,0,0,65.04
40,"2100370",9991,0,0,0,0,1,65.04
41,"2100370",9997,0,0,0,0,1,65.04
42,"2100370",10026,1,0,1,0,0,65.04
43,"2100370",10040,1,0,1,0,0,65.04
44,"2100370",10067,0,0,1,0,0,65.04
45,"2100370",10081,1,0,0,0,0,65.04
46,"2100370",10110,1,0,0,0,0,65.04
47,"2100370",10417,0,0,0,2,0,68.96
48,"2100396",9748,0,0,1,0,1,39.04
49,"2100396",10110,0,0,2,0,0,33.04
50,"2100396",10150,2,0,2,0,0,33.04
55,"2100669",10003,0,0,1,0,0,68.96
56,"2100669",10350,0,1,0,0,0,68.96
57,"2100768",9707,1,0,0,0,0,58.96
58,"2100768",9779,0,2,0,0,0,65.04
59,"2100818",9703,0,0,0,1,0,58.96
60,"2100818",9886,0,0,0,0,1,65.04
61,"2100818",9899,0,0,0,0,2,65.04
62,"2100818",9906,0,0,0,0,2,65.04
63,"2100818",10032,0,0,0,0,1,65.04
64,"2100818",10153,0,0,1,0,0,68.96
65,"2100818",10165,0,0,0,0,1,68.96
66,"2100818",10173,0,0,1,0,0,68.96
67,"2100818",10343,0,0,0,0,2,50
68,"2100818",10367,0,0,1,0,0,68.96
69,"2100909",9991,0,1,0,0,0,48.96
70,"2100909",10148,0,1,1,0,0,33.04
71,"2100909",10160,0,1,0,0,0,68.96
72,"2100909",10172,0,3,0,0,0,39.04
73,"2100909",10250,0,1,0,0,0,68.96
74,"2100909",10301,0,1,0,0,0,39.04
75,"2100909",10341,0,1,0,0,0,50
78,"2101394",9730,0,1,0,0,0,58.96
80,"2101394",9843,0,1,0,0,1,65.04
81,"2101394",9919,0,0,0,1,0,65.04
82,"2101394",10147,0,0,4,0,0,68.96
83,"2101394",10153,0,0,0,2,0,33.04
84,"2101394",10182,0,0,2,0,0,68.96
86,"2101758",10342,2,0,0,0,0,50
87,"2101758",10379,1,0,0,0,0,50
93,"2101782",9815,1,0,0,0,1,65.04
94,"2101782",9823,1,0,0,0,0,65.04
95,"2101782",10092,0,0,0,0,1,65.04
96,"2101782",10124,1,0,0,0,0,65.04
97,"2101782",10201,0,0,0,0,1,68.96
98,"2101782",10454,1,0,0,0,0,68.96
99,"2101790",9691,0,0,0,0,2,58.96
100,"2101790",9693,1,0,0,0,0,58.96
101,"2101790",9704,0,0,0,0,2,58.96
102,"2101790",9707,0,0,0,0,2,58.96
103,"2101790",9737,0,0,0,0,4,58.96
104,"2101790",9750,0,0,2,0,0,58.96
105,"2101790",9766,0,0,0,0,3,58.96
106,"2101790",9773,0,0,2,0,4,65.04
107,"2101790",9782,0,0,0,0,2,65.04
108,"2101790",9796,0,0,0,0,2,65.04
109,"2101790",9801,0,0,0,0,2,65.04
110,"2101790",9814,0,0,1,0,1,65.04
111,"2101790",9835,0,0,0,0,2,65.04
112,"2101790",9840,0,0,2,0,0,65.04
113,"2101790",9893,0,0,2,0,4,65.04
114,"2101790",9897,0,0,0,0,2,65.04
115,"2101790",9915,0,0,0,0,4,65.04
116,"2101790",9927,0,0,0,0,1,65.04
117,"2101790",9955,0,0,0,0,4,45.04
118,"2101790",9957,0,0,0,0,4,65.04
119,"2101790",9961,0,0,0,0,2,65.04
120,"2101790",9975,0,0,0,0,3,65.04
121,"2101790",9982,0,0,0,0,4,65.04
122,"2101790",10003,0,0,0,0,2,65.04
123,"2101790",10019,0,0,2,0,2,65.04
124,"2101790",10028,8,0,0,0,0,65.04
125,"2101790",10039,0,0,2,0,6,65.04
126,"2101790",10044,0,0,0,0,4,65.04
127,"2101790",10045,0,0,2,0,6,65.04
128,"2101790",10052,0,0,0,0,6,65.04
129,"2101790",10062,0,0,0,0,6,65.04
130,"2101790",10065,0,0,2,0,4,65.04
131,"2101790",10076,0,0,0,0,2,65.04
132,"2101790",10078,0,0,0,0,5,65.04
133,"2101790",10099,0,0,0,0,2,65.04
134,"2101790",10103,0,0,3,0,3,65.04
135,"2101790",10113,0,0,1,0,5,68.96
136,"2101790",10122,0,0,0,0,2,68.96
137,"2101790",10205,0,0,0,0,4,68.96
138,"2101790",10297,0,0,0,0,2,68.96
139,"2101790",10316,2,0,0,0,0,68.96
140,"2101790",10318,0,0,1,0,0,68.96
141,"2101790",10339,0,0,2,0,2,68.96
142,"2101790",10353,0,0,2,0,0,68.96
143,"2101790",10404,0,0,0,0,4,68.96
144,"2101790",10408,2,0,1,0,5,68.96
146,"2101790",10455,2,0,2,0,4,68.96
147,"2101980",10142,0,0,0,1,0,68.96
148,"2101980",10324,0,0,0,1,0,68.96
150,"2102095",9816,0,0,1,0,0,65.04
151,"2102095",10169,0,1,1,0,0,68.96
152,"2102095",10428,0,0,0,0,1,65.04
153,"2102129",10119,1,1,0,0,0,65.04
154,"2102129",10411,0,1,0,0,1,65.04
155,"2102129",10455,0,0,2,0,0,68.96
159,"2102715",9673,0,0,0,1,0,58.96
160,"2102715",9680,0,0,0,1,0,58.96
161,"2102715",9702,0,0,0,1,0,58.96
162,"2102715",9752,0,0,0,1,0,58.96
163,"2102715",9769,0,0,0,1,0,68.96
164,"2102715",9797,0,0,0,1,0,65.04
165,"2102715",9816,0,0,0,1,0,65.04
166,"2102715",9844,0,0,0,1,0,65.04
167,"2102715",9878,0,0,0,1,0,68.96
168,"2102715",9900,0,0,0,1,0,68.96
169,"2102715",9932,0,0,0,3,0,50
170,"2102715",9935,0,0,0,4,0,50
173,"2102913",10416,0,0,1,0,0,68.96
174,"2102913",10423,0,0,1,0,0,68.96
175,"2102913",10430,0,0,1,0,0,68.96
176,"2102913",10436,0,0,1,0,0,68.96
177,"2103218",10162,0,0,0,1,0,68.96
178,"2103218",10349,0,0,0,1,0,68.96
179,"2103218",10388,0,0,0,2,0,50
182,"2103291",9702,0,0,1,0,1,58.96
183,"2103291",9713,0,0,1,0,1,58.96
184,"2103291",9716,0,0,2,0,0,58.96
185,"2103291",9723,0,0,1,0,1,58.96
186,"2103291",9744,1,1,1,0,0,39.04
